Epoch: [0][0/3706], lr: 0.00100	Time 22.042 (22.042)	Data 9.655 (9.655)	Loss 3.4336 (3.4336)	Prec@1 6.250 (6.250)	Prec@5 12.500 (12.500)
Epoch: [0][20/3706], lr: 0.00100	Time 0.659 (1.678)	Data 0.000 (0.460)	Loss 3.3591 (3.3235)	Prec@1 3.125 (5.655)	Prec@5 15.625 (20.089)
Epoch: [0][40/3706], lr: 0.00100	Time 0.714 (1.182)	Data 0.000 (0.236)	Loss 3.3377 (3.3101)	Prec@1 6.250 (6.402)	Prec@5 12.500 (21.113)
Epoch: [0][60/3706], lr: 0.00100	Time 0.653 (1.008)	Data 0.000 (0.158)	Loss 3.2528 (3.2941)	Prec@1 12.500 (7.428)	Prec@5 21.875 (22.746)
Epoch: [0][80/3706], lr: 0.00100	Time 0.654 (0.920)	Data 0.000 (0.119)	Loss 3.2891 (3.2791)	Prec@1 6.250 (8.102)	Prec@5 25.000 (24.113)
Epoch: [0][100/3706], lr: 0.00100	Time 0.654 (0.868)	Data 0.000 (0.096)	Loss 3.1815 (3.2616)	Prec@1 12.500 (8.571)	Prec@5 28.125 (25.897)
Epoch: [0][120/3706], lr: 0.00100	Time 0.672 (0.833)	Data 0.001 (0.080)	Loss 3.2765 (3.2475)	Prec@1 12.500 (8.833)	Prec@5 37.500 (26.963)
Epoch: [0][140/3706], lr: 0.00100	Time 0.609 (0.809)	Data 0.000 (0.069)	Loss 3.0094 (3.2239)	Prec@1 25.000 (9.441)	Prec@5 50.000 (28.856)
Epoch: [0][160/3706], lr: 0.00100	Time 0.650 (0.790)	Data 0.000 (0.060)	Loss 3.0781 (3.2047)	Prec@1 9.375 (9.763)	Prec@5 34.375 (30.280)
Epoch: [0][180/3706], lr: 0.00100	Time 0.604 (0.775)	Data 0.000 (0.054)	Loss 2.7417 (3.1752)	Prec@1 21.875 (10.635)	Prec@5 59.375 (32.320)
Epoch: [0][200/3706], lr: 0.00100	Time 0.603 (0.763)	Data 0.000 (0.048)	Loss 2.7003 (3.1439)	Prec@1 18.750 (11.381)	Prec@5 59.375 (34.266)
Epoch: [0][220/3706], lr: 0.00100	Time 0.635 (0.754)	Data 0.000 (0.044)	Loss 3.1414 (3.1143)	Prec@1 3.125 (11.949)	Prec@5 34.375 (35.619)
Epoch: [0][240/3706], lr: 0.00100	Time 0.650 (0.746)	Data 0.000 (0.040)	Loss 2.8291 (3.0876)	Prec@1 18.750 (12.733)	Prec@5 53.125 (37.007)
Epoch: [0][260/3706], lr: 0.00100	Time 0.603 (0.739)	Data 0.000 (0.037)	Loss 2.5662 (3.0593)	Prec@1 28.125 (13.422)	Prec@5 62.500 (38.494)
Epoch: [0][280/3706], lr: 0.00100	Time 0.645 (0.733)	Data 0.000 (0.035)	Loss 2.7847 (3.0319)	Prec@1 21.875 (14.168)	Prec@5 50.000 (39.924)
Epoch: [0][300/3706], lr: 0.00100	Time 0.654 (0.728)	Data 0.000 (0.032)	Loss 2.4041 (3.0035)	Prec@1 28.125 (14.763)	Prec@5 62.500 (41.373)
Epoch: [0][320/3706], lr: 0.00100	Time 0.652 (0.723)	Data 0.000 (0.030)	Loss 2.6474 (2.9696)	Prec@1 9.375 (15.596)	Prec@5 59.375 (42.708)
Epoch: [0][340/3706], lr: 0.00100	Time 0.646 (0.720)	Data 0.000 (0.029)	Loss 2.1804 (2.9400)	Prec@1 40.625 (16.468)	Prec@5 65.625 (43.878)
Epoch: [0][360/3706], lr: 0.00100	Time 0.649 (0.717)	Data 0.000 (0.027)	Loss 2.4038 (2.9109)	Prec@1 40.625 (17.209)	Prec@5 65.625 (45.204)
Epoch: [0][380/3706], lr: 0.00100	Time 0.617 (0.713)	Data 0.000 (0.026)	Loss 2.4262 (2.8880)	Prec@1 34.375 (17.856)	Prec@5 71.875 (46.088)
